subject,mean,std,variance,max,min,range,energy
S9,0.0041427527975424604,2.2357388397336577e-05,4.998528159493602e-10,0.004213033324105054,0.004082074956037295,0.00013095836806775903,0.005492128190195785
S9,0.004140725948785819,1.9923743464958924e-05,3.969555536574934e-10,0.0041822523641451,0.004097315912245542,8.493645189955844e-05,0.005486722668320603
S9,0.004143339623518901,2.830025422707603e-05,8.009043893171346e-10,0.004216617547287954,0.004066814110404842,0.0001498034368831126,0.005493780524867541
S9,0.004142580812540082,1.7473515972146367e-05,3.0532376042885415e-10,0.004193440783858762,0.004098469605758599,9.497117810016321e-05,0.005491609955899415
S9,0.0041415244795188185,2.6326765457113982e-05,6.9309857943389e-10,0.0041962618606763745,0.004069358909979932,0.0001269029506964425,0.005488933796170576
S9,0.004142156542957281,2.2407012559229865e-05,5.020742118294849e-10,0.004188885273103051,0.0040895598539110855,9.93254191919658e-05,0.005490548128184206
S9,0.004142332740018751,1.801512247071591e-05,3.245446376348933e-10,0.004206049090824892,0.004093943270581224,0.00011210582024366762,0.005490958423574043
S9,0.004142588747404221,1.6970136455756598e-05,2.879855313269991e-10,0.00418547050569286,0.0041014971827355055,8.397332295735464e-05,0.005491625445008448
S9,0.004141651423456209,2.2787017997160566e-05,5.192481892029195e-10,0.004194750760026995,0.004086134009916501,0.0001086167501104943,0.005489214643713936
S9,0.004142643496666804,1.215037825465134e-05,1.4763169173110411e-10,0.004177918199512312,0.004110014146061739,6.790405345057354e-05,0.0054917256870935975
S9,0.004142749821550552,2.3707991130531663e-05,5.620688434453679e-10,0.004196062515696337,0.004074922039653372,0.00012114047604296508,0.005492140208896185
S9,0.004141671879185168,2.3475938323644625e-05,5.511196801755664e-10,0.004203350025023598,0.004098394191403089,0.00010495583362050889,0.00548927906384428
S9,0.004142082235560168,1.3189861847695666e-05,1.7397245556129772e-10,0.00417593312313727,0.0040888611718763205,8.707195126094955e-05,0.005490246149951578
S9,0.004145886720519298,5.301561292329909e-05,2.8106552136330776e-09,0.004354474069502411,0.003961369641681319,0.00039310442782109194,0.005501179953469406
S9,0.004140339687469678,3.9762071647241406e-05,1.5810223416803588e-09,0.004255803736216932,0.00400496606583158,0.0002508376703853517,0.00548607799999302
S9,0.004140566399120442,4.1636947901524606e-05,1.7336354305542744e-09,0.0043015069207498514,0.00398962910699063,0.0003118778137592218,0.005486727597105849
S9,0.004143586057891779,2.4891258966097545e-05,6.195747729173314e-10,0.004210927912607892,0.004086921348040839,0.00012400656456705312,0.005494375998056977
S9,0.004141752593350068,1.8667954336668206e-05,3.484925191159293e-10,0.004180619264531501,0.004091125645293473,8.949361923802756e-05,0.005489428171853163
S9,0.004140461170482558,2.5363115084945538e-05,6.432876068121919e-10,0.004205312479195486,0.004069722628511878,0.00013558985068360795,0.005486099837401795
S9,0.004144161120408489,2.1788224874400573e-05,4.747267431774479e-10,0.0042118960700044455,0.004099792915925423,0.00011210315407902266,0.005495854757967529
S9,0.004141289170279831,1.417457964465911e-05,2.0091870810278434e-10,0.004187404829581152,0.004093726760751241,9.367806882991034e-05,0.005488152611387238
S9,0.00414316385443411,2.145227692688124e-05,4.6020018534760127e-10,0.004205222549488799,0.004095376667349958,0.00010984588213884105,0.005493205415959891
S9,0.004142709482375838,4.1892714746798e-05,1.7549995488565865e-09,0.004272258465807764,0.004031829876581738,0.0002404285892260256,0.005492414993572973
S9,0.004141503293229127,1.3465750579413795e-05,1.8132643866698295e-10,0.004170417524258238,0.004112487935723737,5.792958853450148e-05,0.005488713873365237
S9,0.004142522036526242,3.8176504282307754e-05,1.4574454792170625e-09,0.004257718749834007,0.00407245824181547,0.00018526050801853742,0.005491822805947118
S9,0.00414224774869319,2.6096902206938206e-05,6.810483047984963e-10,0.004198508818232779,0.0040924004319087375,0.00010610838632404192,0.005490847187154751
S9,0.004141553972561185,3.190493896619787e-05,1.0179251304368112e-09,0.004223894543873756,0.004067868911070245,0.00015602563280351072,0.005489115914485686
S9,0.004143572454875548,2.2733138944876852e-05,5.167956062870766e-10,0.004202584152959682,0.004086994739179368,0.00011558941378031398,0.005494307035011091
S9,0.004141921866351905,2.0315359092822647e-05,4.127138150703318e-10,0.004194199931750164,0.004090297505518366,0.00010390242623179759,0.005489897427449319
S9,0.004142199384813425,1.8434368921894678e-05,3.398259575485164e-10,0.004184373649571938,0.004100857349779051,8.351629979288719e-05,0.005490609782242004
S9,0.004142495437463945,1.703853958658834e-05,2.9031183124373795e-10,0.0041790570730891085,0.004089826929872713,8.923014321639538e-05,0.00549137880359707
S9,0.0041420839899357674,7.189587802699125e-06,5.1690172772720037e-11,0.004162597914229574,0.004115786473095982,4.681144113359136e-05,0.005490211670353594
S9,0.004142035356782382,5.488558153606194e-06,3.0124270605517035e-11,0.0041520600745867196,0.0041277394433269455,2.4320631259774038e-05,0.005490075846753906
S9,0.004142619035404898,5.504467294370048e-06,3.029916019478951e-11,0.004157640049745976,0.004128623245719887,2.9016804026089395e-05,0.005491623286930945
